Sekolah;2019average;2019percentile;2019ppdbrank;2018average;2018percentile;2018ppdbrank;2017average;2017percentile;2017ppdbrank;2016average;2016percentile;2016ppdbrank;;
SMA NEGERI 90;88,74;73%;26;82,42;72%;25;82,52;69%;25;83,96;70%;27;;
SMA NEGERI 91;88,22;71%;30;80,87;67%;29;82,43;69%;27;84,91;74%;25;;
SMA NEGERI 92;71,49;17%;99;65,44;12%;107;63,81;13%;105;67,93;17%;102;;
SMA NEGERI 93;78,74;39%;71;74,53;43%;62;74,33;42%;62;76,22;41%;65;;
SMA NEGERI 94;79,75;42%;63;73,62;39%;68;71,54;33%;77;76,15;40%;66;;
SMA NEGERI 95;79,31;41%;66;73,02;37%;72;71,41;33%;78;74,72;35%;77;;
SMA NEGERI 96;73,61;23%;93;69,75;26%;91;66,82;19%;93;71,47;24%;93;;
SMA NEGERI 97;83,72;56%;48;78,16;57%;41;77,68;54%;45;79,37;54%;46;;
SMA NEGERI 98;86,79;66%;34;80,10;64%;35;81,86;67%;31;83,02;67%;31;;
SMA NEGERI 99;91,33;81%;19;83,90;77%;20;85,71;79%;20;85,96;77%;23;;
SMA NEGERI 100;74,20;24%;91;70,54;28%;86;69,68;26%;86;72,83;27%;86;;
SMA NEGERI 101;75,19;27%;87;70,71;29%;82;68,85;25%;90;73,84;32%;80;;
SMA NEGERI 102;72,11;19%;97;67,72;19%;100;66,18;18%;98;68,80;16%;100;;
SMA NEGERI 103;86,85;66%;33;80,70;66%;30;81,10;64%;35;82,99;67%;32;;
SMA NEGERI 104;79,68;42%;65;75,82;48%;55;75,84;47%;56;78,66;51%;51;;
SMA NEGERI 105;84,01;57%;46;77,98;56%;42;77,82;54%;44;79,60;54%;45;;
SMA NEGERI 106;79,82;42%;62;76,12;49%;53;74,42;42%;61;77,55;46%;60;;
SMA NEGERI 107;73,72;22%;92;69,93;26%;90;68,96;24%;89;71,93;24%;91;;
SMA NEGERI 108;73,17;20%;94;69,26;23%;95;66,77;19%;94;71,11;21%;94;;
SMA NEGERI 109;86,55;65%;37;80,12;64%;34;81,08;65%;36;82,15;64%;35;;
SMA NEGERI 110;72,00;19%;98;69,62;25%;93;65,46;16%;100;70,29;20%;95;;
SMA NEGERI 111;72,36;20%;95;68,44;23%;97;67,71;23%;92;66,57;16%;107;;
SMA NEGERI 112;88,48;72%;27;81,34;68%;26;82,50;69%;26;84,08;71%;26;;
SMA NEGERI 113;81,32;48%;58;76,55;50%;49;76,57;50%;50;77,57;46%;58;;
SMA NEGERI 114;64,48;4%;113;61,56;4%;114;60,42;6%;113;65,40;8%;110;;
SMA NEGERI 115;64,08;5%;114;63,53;8%;112;61,75;9%;109;63,96;6%;112;;
